raw	mapped
4EBP1	EIF4EBP1|1978|Q13541|ENSG00000187840
ACC	ACACA|31|Q13085|A0A087WWN5|Q7Z5W8|A0A0C4DGT1|A0A087X126|A0A087WYK6|Q59FY4|A0A087WYS8|A0A087X2F8|A0A087WVR6|A0A087X0W4|ENSG00000275176|ENSG00000278540|ACACB|32|O00763|H0YGH5|S4R3S7|F8W8T8|A0A087WUA1|F5H5C3|ENSG00000076555
AKT	AKT1|207|P31749|B3KVH4|B0LPE5|A0AAQ5BHJ3|A0AAQ5BHK3|A0A804HJM6|G3V3X1|A0A087WY56|G3V2I6|ENSG00000142208|AKT2|208|P31751|C9J258|B4DG79|J3KT31|J3KTP4|A0A5F9ZHJ8|E7EVP8|J3KSY8|A0A1B0GXA2|J3QLS6|M0QZK3|C9JIF6|J3KRI8|C9JHS6|A0A0A0MRF1|M0R275|M0R283|C9JIJ1|C9JC83|A8MX96|M0R0P9|J3QKW1|J3QL45|J3KTC6|M0QZW8|ENSG00000105221|AKT3|10000|Q9Y243|A0A7P0TBJ6|A0A5F9ZHU3|A0A7P0TB32|A0A7P0T872|A0A5F9ZGY0|A0A7P0TB29|A0A5K1VW74|A0A5F9ZGZ4|F8VS91|A0A7P0T8T9|A0A5F9ZHA9|ENSG00000117020|ENSG00000275199
AMPK	PRKAA1|5562|Q13131|Q96E92|ENSG00000132356|PRKAA2|5563|P54646|ENSG00000162409
BAD	BAD|572|Q92934|F5H3B1|F5GYS3|F5H1R6|A8MXU7|ENSG00000002330
C-JUN	JUN|3725|P05412|A0AA34QVR9|ENSG00000177606
C-MET	MET|4233|P08581|B4DLF5|E6Y365|C9JKM5|H7C130|ENSG00000105976
C-RAF	RAF1|5894|P04049|L7RRS6|A0A0S2Z4L5|A0A0S2Z559|B4E0X2|A0A8I5KX50|A0A8I5KW44|A0A8I5KR46|A0A8I5KTK4|A0A8I5KWA9|A0A8I5KYP5|A0A8I5QKZ6|A0A8I5KSM4|A0A8I5KWF7|A0A8I5KQ33|A0A8I5KSI1|A0A8I5KYC4|A0A8I5KSV6|A0A8I5KRD1|A0A8I5KT32|A0A8I5QKU8|H7C155|A0A8I5KSB0|A0A8I5QJG5|A0A8I5KWS9|A0A8I5KQV4|A0A8I5KUW4|A0A8I5KS16|A0A0B4J1W9|A0A8I5KTA5|ENSG00000132155
CHK1	CHEK1|1111|O14757|B4DT73|E7EPP6|A0A087WT52|E9PQW7|E9PKQ3|E9PJI4|E9PPA5|E9PRU7|ENSG00000149554
CHK2	CHEK2|11200|O96017|A0A3B3ITA7|A0A7P0MUT5|C9JFD7|F8WCV2|A0AA34QVK6|H0Y820|H7BZ30|B7ZBF7|B7ZBF8|A0A087X102|H0Y4V6|ENSG00000183765
EGFR	EGFR|1956|P00533|C9JYS6|Q504U8|B7Z2I3|E7BSV0|F2YGG7|A0A8V8TPW8|ENSG00000146648
ER-ALPHA	ESR1|2099|P03372|A0A125SXW3|Q9UBT1|G4XH65|A8KAF4|H0Y4W6|Q9H2M2|Q9UE35|Q9H2M1|B0QYW7|Q5T5H8|ENSG00000091831
FOXO3A	FOXO3|2309|O43524|A0A856PRE8|ENSG00000118689
